Architektura,T,Schedule,Ratio,Mean_MSE,Median_MSE,Mean_L2,Mean_Wasserstein,Mean_Pearson,Mean_Inference_Time
Conv1D_C128_1e-3,80,linear,0.35,0.0003065955658336558,0.0003678519006158846,3.0379295,0.009312977284755521,0.99938905,0.00399116309483846
Conv1D_C128_5e-4,80,linear,0.35,0.00031401737855776444,0.0003838917960820254,3.0972927,0.00938596947177105,0.9993658,0.0032324093182881674
UNet_C64_1e-4,80,linear,0.35,0.0003195055556304093,0.0003953545786256048,3.1389112,0.009459144735663321,0.9993475,0.0026073611577351894
UNet_C128_5e-4,80,linear,0.35,0.0003234146192165402,0.0004092939211598908,3.1175208,0.009586912543267007,0.99937165,0.0029982175827026366
Conv1D_C128_5e-4,100,linear,0.35,0.00035080757535858236,0.0004312328532008299,3.2130203,0.009841733629719976,0.99933356,0.004953345775604248
Conv1D_C128_1e-3,100,linear,0.35,0.000342468247419068,0.0004442615787896405,3.1963458,0.009610852465086705,0.99932194,0.003918020248413086
UNet_C128_5e-4,100,linear,0.35,0.0003763818886921702,0.0004690544572804356,3.2888246,0.009956723603254019,0.9992856,0.0049377401669820145
UNet_C64_1e-4,100,linear,0.35,0.000377854726696872,0.00048720644253383706,3.2872376,0.009994684657493246,0.9992849,0.004778268814086914
Conv1D_C128_5e-4,120,linear,0.35,0.00041557351307710633,0.0005224929788043179,3.3893008,0.01022322066016337,0.9992463,0.005429754416147868
UNet_C128_5e-4,120,linear,0.35,0.00039530825209173294,0.0005282943138930326,3.3612301,0.010165136311332732,0.99927026,0.00386193577448527
UNet_C64_1e-4,120,linear,0.35,0.0004246344053002152,0.0005362779008767878,3.3948143,0.010264792611002844,0.9992463,0.004966359456380208
Conv1D_C128_1e-3,120,linear,0.35,0.00041982030318467875,0.000545732893612391,3.4277077,0.01033272715615681,0.9992277,0.0052975222269694006
Conv1D_C128_5e-4,120,cosine,0.35,0.0012730033016802433,0.0013762092281831427,6.378452,0.01640753238540417,0.99716693,0.005068260828653972
UNet_C128_5e-4,120,cosine,0.35,0.0011445906495597834,0.001384526294423267,6.0514827,0.01626687291850264,0.99747676,0.00496673329671224
Conv1D_C128_1e-3,120,cosine,0.35,0.0011960563752412175,0.001413534714471704,6.2005763,0.016327545457796196,0.9973155,0.0049345277150472005
UNet_C64_1e-4,120,cosine,0.35,0.0012285986090040143,0.0014927465071862874,6.3244133,0.01627392273607203,0.9971734,0.005092494646708171
Conv1D_C128_5e-4,100,cosine,0.35,0.0014048527699196713,0.0015768309063666191,6.8415794,0.017374936615291558,0.99671763,0.004024676640828451
UNet_C128_5e-4,100,cosine,0.35,0.0013270410791349908,0.001604598730142849,6.596236,0.01722654005464366,0.9969363,0.004250503381093344
UNet_C64_1e-4,100,cosine,0.35,0.0014514862994741027,0.0016233525836529831,6.9164877,0.017467883722448552,0.9966339,0.00444686492284139
Conv1D_C128_1e-3,100,cosine,0.35,0.0013496384085544075,0.001657049839074413,6.699135,0.017353892674641387,0.9968561,0.0048856096267700195
Conv1D_C128_1e-3,80,cosine,0.35,0.0015362309219005207,0.0017468467954313382,7.319188,0.018382500287970713,0.99617827,0.00218757692972819
Conv1D_C128_5e-4,80,cosine,0.35,0.001655227968702093,0.0018034126615384593,7.4883866,0.01904145071645682,0.99606496,0.0026710588137308757
UNet_C128_5e-4,80,cosine,0.35,0.0015905440244823696,0.0018503263390933474,7.337181,0.01873116046664237,0.996171,0.003052623748779297
UNet_C64_1e-4,80,cosine,0.35,0.001723652288899757,0.001898124670260586,7.6842537,0.019221884185304662,0.9957635,0.002944767634073893
